"Locality","Taxon","family","d18O.VPDB"
"LBB","Procamelus","camelid",0
"LBB","Tapirus","tapirid",-3.4
"LBB","""Prosthenops""","tayassuid",-1.5
"LBB","Neohipparion","equid",-0.2
"LBB","Cormohipparion","equid",-2
"LBB","Cormohipparion","equid",2.5
"LBB","Cormohipparion","equid",1.9
"LBB","Cormohipparion","equid",1.4
"LBB","Cormohipparion","equid",2.2
"LBB","Cormohipparion","equid",-0.4
"LBB","Cormohipparion","equid",-0.1
"McG","Pliohippus","equid",0.1
"McG","Pseudhipparion","equid",-3.3
"McG","Cormohipparion","equid",-0.4
"McG","hipparion","equid",0.7
"McG","Hipparion","equid",0.1
"McG","Tapirus","tapirid",-0.3
"Wth","Tapirus","tapirid",-1.2
"Wth","Cormohipparion","equid",1.2
"Wth","camel","camelid",-0.4
"Wth","camel","camelid",-1.8
"Wth","Pliohippus","equid",-1.3
"Wth","Pliohippus","equid",-1.5
"BV","Hemiauchenia","camelid",-0.6
"BV","Catagonus","tayassuid",-1.1
"BV","Megatylopus","camelid",0.5
"BV","Pseudhipparion","equid",0.7
"BV","Pseudhipparion","equid",1.1
"BV","Cormohipparion","equid",-0.8
"BV","Cormohipparion","equid",-1.4
"BV","Nannippus","equid",-0.3
"BV","Dinohippus","equid",0.5
"BV","Dinohippus","equid",0
"BV","Tapiravus","tapirid",-1.8
"BV","Megatylopus","camelid",1.4
"BV","Megatylopus","camelid",1.2
"BV","Nannippus","equid",-0.6
"BV","Nannippus","equid",-0.9
"BV","Neohipparion","equid",-1.4
"BV","Neohipparion","equid",-1
"BV","Neohipparion","equid",-0.1
"BV","Neohipparion","equid",0.3
"BV","Pseudhipparion","equid",0.6
"LBB","Aphelops","rhinocerotid",1
"LBB","Aphelops","rhinocerotid",-0.2
"LBB","Aphelops","rhinocerotid",0.9
"LBB","Aphelops","rhinocerotid",1.3
"LBB","Aphelops","rhinocerotid",-0.5
"LBB","Teleoceras","T.rhinocerotid",1.4
"LBB","Teleoceras","T.rhinocerotid",1
"LBB","Teleoceras","T.rhinocerotid",1.7
"LBB","Teleoceras","T.rhinocerotid",0.7
"LBB","Teleoceras","T.rhinocerotid",0.8
"McG","Aphelops","rhinocerotid",0.2
"McG","Aphelops","rhinocerotid",0.2
"McG","Aphelops","rhinocerotid",-0.5
"McG","Aphelops","rhinocerotid",0.1
"McG","Aphelops","rhinocerotid",-0.3
"McG","Aphelops","rhinocerotid",1.3
"McG","Teleoceras","T.rhinocerotid",1.4
"McG","Teleoceras","T.rhinocerotid",1.1
"McG","Teleoceras","T.rhinocerotid",0.8
"McG","Teleoceras","T.rhinocerotid",0.2
"McG","Teleoceras","T.rhinocerotid",-0.9
"McG","Teleoceras","T.rhinocerotid",1.5
"Wth","Aphelops","rhinocerotid",0.9
"Wth","Aphelops","rhinocerotid",0.4
"Wth","Aphelops","rhinocerotid",-0.5
"Wth","Aphelops","rhinocerotid",0.3
"Wth","Aphelops","rhinocerotid",1.2
"Wth","Aphelops","rhinocerotid",1.1
"Wth","Aphelops","rhinocerotid",0.8
"Wth","Aphelops","rhinocerotid",-0.1
"Wth","Teleoceras","T.rhinocerotid",1.1
"Wth","Teleoceras","T.rhinocerotid",0
"BV","Aphelops","rhinocerotid",1.4
"BV","Aphelops","rhinocerotid",1.6
"BV","Aphelops","rhinocerotid",0.3
"BV","Teleoceras","T.rhinocerotid",0.8
"BV","Teleoceras","T.rhinocerotid",-0.8
"BV","Teleoceras","T.rhinocerotid",0.1
"BV","Teleoceras","T.rhinocerotid",1.3
"BV","Teleoceras","T.rhinocerotid",1
"BV","Teleoceras","T.rhinocerotid",0.8
"BV","Teleoceras","T.rhinocerotid",0.2
