"Locality","Taxon","family","d18O.VSMOW"
"HR","Brachycrus","merycoidodontidae",28.5
"HR","Merychippus","equid",25.1
"HR","Merychippus","equid",26.3
"HR","Merychippus","equid",24.2
"HR","Merychippus","equid",24.4
"HR","Merychippus","equid",25.4
"HR","Chalicothere","chalicothere",27.3
"HR","Cormohipparion","equid",27
"HR","Hypohippus","equid",25
"HR","Hypohippus","equid",24.7
"HR","Hypohippus","equid",25.2
"HR","Hypohippus","equid",23
"HR","Merycodus","antilocaprid",24
"HR","Merycodus","antilocaprid",23.5
"HR","Merycodus","antilocaprid",24.9
"HR","Merycodus","antilocaprid",23.1
"HR","Merycodus","antilocaprid",22.5
"HR","Merycodus","antilocaprid",24.8
"HR","Neohipparion","equid",26
"HR","Neohipparion","equid",23.6
"HR","Neohipparion","equid",24.7
"HR","Neohipparion","equid",24.2
"HR","Neohipparion","equid",26
"HR","Parahippus","equid",23.2
"HR","Parahippus","equid",25.5
"HR","Parahippus","equid",26.7
"HR","Parahippus","equid",26.7
"HR","Parahippus","equid",27.2
"HR","Peraceras","rhinocerotid",22.7
"HR","Peraceras","rhinocerotid",23.8
"HR","Peraceras","rhinocerotid",24.4
"HR","Peraceras","rhinocerotid",22.8
"HR","Peraceras","rhinocerotid",23.6
"HR","Peraceras","rhinocerotid",23.7
"HR","Pseudoparablastomeryx","leptomerycid",24.2
"HR","Pseudoparablastomeryx","leptomerycid",21.9
"HR","Pseudoparablastomeryx","leptomerycid",21.5
"HR","Rakomeryx","palaeomerycid",28.6
"HR","Rakomeryx","palaeomerycid",25.8
"HR","Rakomeryx","palaeomerycid",26.1
"HR","Tapiravus","tapirid",27.5
"HR","Tapiravus","tapirid",23.8
"HR","Tapiravus","tapirid",23.7
"HR","Teleoceras","T.rhinocerotid",24.3
"HR","Teleoceras","T.rhinocerotid",23.6
"HR","Teleoceras","T.rhinocerotid",28.1
"HR","Teleoceras","T.rhinocerotid",25.6
"HR","Teleoceras","T.rhinocerotid",24.7
"HR","Teleoceras","T.rhinocerotid",23.2
"MF","Bouromeryx","palaeomerycid",30.6
"MF","Bouromeryx","palaeomerycid",25.1
